Date,Department,Age,Employees
201303,Canada Revenue Agency,55-59,5501
201412,Canada Revenue Agency,55-59,5501
201203,Canada Revenue Agency,55-59,5498
201403,Canada Revenue Agency,55-59,5498
201509,Canada Revenue Agency,55-59,5483
200803,National Defence,45-49,5473
200806,National Defence,45-49,5469
201109,National Defence,45-49,5462
201303,Canada Revenue Agency,40-44,5434
201112,National Defence,45-49,5416
201306,National Defence,50-54,5406
201206,Canada Revenue Agency,40-44,5403
201306,Canada Revenue Agency,55-59,5397
201012,Canada Revenue Agency,40-44,5389
201309,National Defence,50-54,5376
201403,National Defence,50-54,5369
201009,Canada Revenue Agency,40-44,5360
201312,Canada Revenue Agency,55-59,5360
201409,Canada Revenue Agency,55-59,5358
201312,National Defence,50-54,5355
200809,National Defence,50-54,5354
201212,Canada Revenue Agency,55-59,5338
201212,Canada Revenue Agency,40-44,5333
201106,Canada Revenue Agency,40-44,5322
201206,Canada Revenue Agency,55-59,5277
201112,Canada Revenue Agency,40-44,5265
200806,National Defence,50-54,5264
201209,Canada Revenue Agency,40-44,5260
201403,Canada Revenue Agency,40-44,5219
200803,National Defence,50-54,5218
201003,Canada Revenue Agency,55-59,5214
201109,Canada Revenue Agency,40-44,5210
201503,National Defence,50-54,5207
201103,Canada Revenue Agency,55-59,5204
201306,Canada Revenue Agency,40-44,5201
201503,Canada Revenue Agency,40-44,5200
201406,National Defence,50-54,5199
201309,Canada Revenue Agency,55-59,5191
201112,Canada Revenue Agency,55-59,5164
201412,National Defence,50-54,5160
201603,Canada Revenue Agency,40-44,5153
201409,National Defence,50-54,5146
201209,Canada Revenue Agency,55-59,5143
201506,National Defence,50-54,5141
201506,Canada Revenue Agency,40-44,5128
201406,Canada Revenue Agency,40-44,5105
201603,National Defence,50-54,5095
201509,National Defence,50-54,5090
201312,Canada Revenue Agency,40-44,5083
201512,National Defence,50-54,5073
201203,National Defence,45-49,5071
201412,Canada Revenue Agency,40-44,5069
201512,Canada Revenue Agency,40-44,5059
201309,Canada Revenue Agency,40-44,5054
201012,Canada Revenue Agency,55-59,5033
201106,Canada Revenue Agency,55-59,5032
201006,Canada Revenue Agency,55-59,5015
200903,Canada Revenue Agency,55-59,5010
200912,Canada Revenue Agency,55-59,4994
201409,Canada Revenue Agency,40-44,4966
201109,Canada Revenue Agency,55-59,4962
201509,Canada Revenue Agency,40-44,4944
200906,Canada Revenue Agency,55-59,4937
201009,Canada Revenue Agency,55-59,4836
200909,Canada Revenue Agency,55-59,4826
200812,Canada Revenue Agency,55-59,4815
201203,Canada Revenue Agency,35-39,4769
201206,National Defence,45-49,4736
200806,Canada Revenue Agency,55-59,4731
201003,Canada Revenue Agency,35-39,4690
200803,Canada Revenue Agency,55-59,4674
200809,Canada Revenue Agency,55-59,4624
200903,Canada Revenue Agency,35-39,4594
201603,Canada Revenue Agency,35-39,4571
201103,Canada Revenue Agency,35-39,4567
200803,Employment and Social Development Canada,50-54,4564
201209,National Defence,45-49,4562
201403,Canada Revenue Agency,35-39,4558
201503,Canada Revenue Agency,35-39,4545
200803,Canada Revenue Agency,35-39,4542
201303,Canada Revenue Agency,35-39,4541
201206,Canada Revenue Agency,35-39,4532
200806,Employment and Social Development Canada,50-54,4520
201006,Canada Revenue Agency,35-39,4504
201406,Canada Revenue Agency,35-39,4483
201003,Employment and Social Development Canada,50-54,4481
200912,Employment and Social Development Canada,50-54,4476
200812,Employment and Social Development Canada,50-54,4473
200809,Employment and Social Development Canada,50-54,4472
200903,Employment and Social Development Canada,50-54,4450
200909,Employment and Social Development Canada,50-54,4447
200906,Employment and Social Development Canada,50-54,4441
200806,Canada Revenue Agency,35-39,4435
201412,Canada Revenue Agency,35-39,4430
200912,Canada Revenue Agency,35-39,4424
201506,Canada Revenue Agency,35-39,4423
201212,Canada Revenue Agency,35-39,4422
201212,National Defence,45-49,4419
201106,Canada Revenue Agency,35-39,4418
201306,Canada Revenue Agency,35-39,4417
200906,Canada Revenue Agency,35-39,4416
201209,Canada Revenue Agency,35-39,4412
201012,Employment and Social Development Canada,50-54,4397
201006,Employment and Social Development Canada,50-54,4396
201112,Canada Revenue Agency,35-39,4396
201512,Canada Revenue Agency,35-39,4396
201103,Employment and Social Development Canada,50-54,4386
201312,Canada Revenue Agency,35-39,4382
201009,Canada Revenue Agency,35-39,4370
201409,Canada Revenue Agency,35-39,4365
201012,Canada Revenue Agency,35-39,4360
201009,Employment and Social Development Canada,50-54,4359
200909,Canada Revenue Agency,35-39,4336
201303,National Defence,45-49,4327
201109,Canada Revenue Agency,35-39,4325
200812,Canada Revenue Agency,35-39,4307
201309,Canada Revenue Agency,35-39,4305
201106,Employment and Social Development Canada,50-54,4301
201509,Canada Revenue Agency,35-39,4278
200809,Canada Revenue Agency,35-39,4277
201109,Employment and Social Development Canada,50-54,4255
200803,Employment and Social Development Canada,45-49,4212
201112,Employment and Social Development Canada,50-54,4196
201203,Employment and Social Development Canada,50-54,4168
200806,Employment and Social Development Canada,45-49,4137
200812,Employment and Social Development Canada,45-49,4127
201603,National Defence,55-59,4115
201003,Employment and Social Development Canada,45-49,4111
200912,Employment and Social Development Canada,45-49,4106
201306,National Defence,45-49,4099
200809,Employment and Social Development Canada,45-49,4092
200903,Employment and Social Development Canada,45-49,4073
200909,Employment and Social Development Canada,45-49,4056
200906,Employment and Social Development Canada,45-49,4053
201003,Canada Revenue Agency,30-34,4013
201112,National Defence,55-59,3983
201006,Employment and Social Development Canada,45-49,3975
201512,National Defence,55-59,3970
201309,National Defence,45-49,3957
201206,Employment and Social Development Canada,50-54,3941
200903,Canada Revenue Agency,30-34,3935
201509,National Defence,55-59,3922
201203,Canada Revenue Agency,30-34,3916
201109,National Defence,55-59,3912
201503,National Defence,55-59,3912
201203,National Defence,55-59,3899
201009,Employment and Social Development Canada,45-49,3894
201212,National Defence,55-59,3881
201012,Employment and Social Development Canada,45-49,3879
201012,National Defence,55-59,3876
201103,National Defence,55-59,3876
201212,Employment and Social Development Canada,50-54,3876
201506,National Defence,55-59,3874
201106,National Defence,55-59,3867
201303,National Defence,55-59,3856
201103,Employment and Social Development Canada,45-49,3848
201312,National Defence,45-49,3848
201103,Canada Revenue Agency,30-34,3843
200803,National Defence,40-44,3842
201209,Employment and Social Development Canada,50-54,3842
200903,National Defence,40-44,3835
201206,National Defence,55-59,3830
201209,National Defence,55-59,3827
200909,National Defence,40-44,3825
201412,National Defence,55-59,3820
200812,National Defence,40-44,3817
201312,National Defence,55-59,3810
201409,National Defence,55-59,3810
201009,National Defence,55-59,3808
200906,National Defence,40-44,3790
201303,Canada Revenue Agency,30-34,3785
201403,National Defence,55-59,3782
201006,Canada Revenue Agency,30-34,3779
200906,Canada Revenue Agency,30-34,3774
201106,Employment and Social Development Canada,45-49,3774
201309,National Defence,55-59,3768
201206,Canada Revenue Agency,30-34,3765
201306,National Defence,55-59,3763
201003,National Defence,55-59,3762
201006,National Defence,55-59,3760
201406,National Defence,55-59,3758
201303,Employment and Social Development Canada,50-54,3740
200806,National Defence,40-44,3730
200809,National Defence,40-44,3728
200912,National Defence,55-59,3725
201403,National Defence,45-49,3717
201109,Employment and Social Development Canada,45-49,3692
200909,National Defence,55-59,3673
200912,Canada Revenue Agency,30-34,3673
201403,Employment and Social Development Canada,50-54,3672
201106,Canada Revenue Agency,30-34,3669
201403,Canada Revenue Agency,30-34,3669
200912,National Defence,40-44,3665
201112,Employment and Social Development Canada,45-49,3658
200803,Canada Revenue Agency,30-34,3656
200806,Canada Revenue Agency,30-34,3655
201503,Canada Revenue Agency,30-34,3654
201412,Employment and Social Development Canada,50-54,3642
201603,Canada Revenue Agency,30-34,3634
201503,Employment and Social Development Canada,50-54,3633
200909,Canada Revenue Agency,30-34,3630
201306,Canada Revenue Agency,30-34,3624
201306,Employment and Social Development Canada,50-54,3622
200906,National Defence,55-59,3615
201003,National Defence,40-44,3614
201203,Employment and Social Development Canada,45-49,3607
201406,Employment and Social Development Canada,50-54,3606
201409,Employment and Social Development Canada,50-54,3602
201506,Employment and Social Development Canada,50-54,3589
201112,Canada Revenue Agency,30-34,3573
201012,Canada Revenue Agency,30-34,3567
201109,Canada Revenue Agency,30-34,3562
201512,Employment and Social Development Canada,50-54,3556
201406,National Defence,45-49,3552
200903,National Defence,55-59,3549
201212,Canada Revenue Agency,30-34,3549
201406,Canada Revenue Agency,30-34,3549
201506,Canada Revenue Agency,30-34,3548
200812,Canada Revenue Agency,30-34,3546
201509,Employment and Social Development Canada,50-54,3536
201009,Canada Revenue Agency,30-34,3525
201209,Canada Revenue Agency,30-34,3510
200809,Canada Revenue Agency,30-34,3504
200812,National Defence,55-59,3504
201603,Employment and Social Development Canada,50-54,3503
201309,Employment and Social Development Canada,50-54,3502
201312,Employment and Social Development Canada,50-54,3502
201006,National Defence,40-44,3491
201409,National Defence,45-49,3482
201103,National Defence,40-44,3468
201009,National Defence,40-44,3463
201412,Canada Revenue Agency,30-34,3463
201012,National Defence,40-44,3456
201409,Canada Revenue Agency,30-34,3437
201312,Canada Revenue Agency,30-34,3421
200809,National Defence,55-59,3410
201309,Canada Revenue Agency,30-34,3410
201206,Employment and Social Development Canada,45-49,3392
201412,National Defence,45-49,3388
201512,Canada Revenue Agency,30-34,3381
201003,Employment and Social Development Canada,40-44,3378
201503,National Defence,45-49,3377
201106,National Defence,40-44,3373
201109,National Defence,40-44,3370
200912,Employment and Social Development Canada,40-44,3368
201112,National Defence,40-44,3368
200806,National Defence,55-59,3338
201509,Canada Revenue Agency,30-34,3326
201403,Employment and Social Development Canada,45-49,3320
200909,Employment and Social Development Canada,40-44,3311
200803,Employment and Social Development Canada,40-44,3305
201209,Employment and Social Development Canada,45-49,3303
200803,National Defence,55-59,3300
200812,Employment and Social Development Canada,40-44,3294
200903,Employment and Social Development Canada,40-44,3280
201406,Employment and Social Development Canada,45-49,3270
200806,Employment and Social Development Canada,40-44,3265
201212,Employment and Social Development Canada,45-49,3259
201006,Employment and Social Development Canada,40-44,3252
201512,Employment and Social Development Canada,45-49,3251
200906,Employment and Social Development Canada,40-44,3245
201303,Employment and Social Development Canada,45-49,3245
200809,Employment and Social Development Canada,40-44,3243
201603,Employment and Social Development Canada,45-49,3241
201506,National Defence,45-49,3237
201603,Employment and Social Development Canada,40-44,3234
201412,Correctional Service Canada,40-44,3230
201503,Employment and Social Development Canada,45-49,3226
201406,Correctional Service Canada,40-44,3225
201409,Correctional Service Canada,40-44,3225
201103,Employment and Social Development Canada,40-44,3222
201412,Employment and Social Development Canada,45-49,3222
201503,Correctional Service Canada,40-44,3222
201012,Employment and Social Development Canada,40-44,3221
201603,National Defence,45-49,3221
201312,Correctional Service Canada,40-44,3218
201403,Correctional Service Canada,40-44,3213
201603,Employment and Social Development Canada,35-39,3213
201409,Employment and Social Development Canada,45-49,3203
201509,National Defence,45-49,3201
201512,Correctional Service Canada,40-44,3201
201009,Employment and Social Development Canada,40-44,3190
201512,National Defence,45-49,3188
201309,Correctional Service Canada,40-44,3184
201506,Employment and Social Development Canada,45-49,3183
201506,Correctional Service Canada,40-44,3183
201509,Employment and Social Development Canada,45-49,3174
201509,Correctional Service Canada,40-44,3173
201603,Correctional Service Canada,40-44,3172
201303,Correctional Service Canada,40-44,3164
201512,Employment and Social Development Canada,40-44,3161
201512,Employment and Social Development Canada,35-39,3157
201306,Employment and Social Development Canada,45-49,3148
201003,Canada Revenue Agency,25-29,3140
201212,Correctional Service Canada,40-44,3140
201306,Correctional Service Canada,40-44,3140
201106,Employment and Social Development Canada,40-44,3132
201203,National Defence,40-44,3126
201206,Correctional Service Canada,40-44,3113
201203,Correctional Service Canada,40-44,3111
201112,Correctional Service Canada,35-39,3097
201312,Employment and Social Development Canada,45-49,3096
201109,Correctional Service Canada,35-39,3092
201309,Employment and Social Development Canada,45-49,3086
201109,Employment and Social Development Canada,40-44,3084
201209,Correctional Service Canada,40-44,3075
201503,Employment and Social Development Canada,35-39,3075
201203,Correctional Service Canada,35-39,3070
201112,Employment and Social Development Canada,40-44,3069
201203,Employment and Social Development Canada,40-44,3060
201506,Employment and Social Development Canada,40-44,3058
201503,Employment and Social Development Canada,40-44,3055
201103,Correctional Service Canada,35-39,3047
201509,Employment and Social Development Canada,35-39,3046
201106,Correctional Service Canada,35-39,3043
200903,Canada Revenue Agency,25-29,3037
201509,Employment and Social Development Canada,40-44,3036
201506,Employment and Social Development Canada,35-39,3035
201009,Correctional Service Canada,35-39,3029
201012,Correctional Service Canada,35-39,3027
201112,Correctional Service Canada,40-44,3023
200912,Employment and Social Development Canada,55-59,3021
201412,Employment and Social Development Canada,35-39,3015
201403,Employment and Social Development Canada,35-39,3003
201003,Correctional Service Canada,35-39,2997
201003,Employment and Social Development Canada,55-59,2995
201006,Correctional Service Canada,35-39,2992
201206,Correctional Service Canada,35-39,2988
201412,Employment and Social Development Canada,40-44,2977
200812,Employment and Social Development Canada,55-59,2973
201206,National Defence,40-44,2972
200912,Correctional Service Canada,35-39,2966
201406,Employment and Social Development Canada,35-39,2960
201209,Correctional Service Canada,35-39,2958
201109,Correctional Service Canada,40-44,2952
201406,Employment and Social Development Canada,40-44,2949
201403,Employment and Social Development Canada,40-44,2948
201212,Correctional Service Canada,35-39,2947
201003,Employment and Social Development Canada,35-39,2946
201006,Canada Revenue Agency,25-29,2946
200903,Employment and Social Development Canada,55-59,2942
201409,Employment and Social Development Canada,35-39,2940
200909,Employment and Social Development Canada,55-59,2921
200909,Correctional Service Canada,35-39,2920
201112,National Defence,35-39,2920
200906,Canada Revenue Agency,25-29,2917
201206,Correctional Service Canada,45-49,2916
201209,National Defence,40-44,2916
201103,Correctional Service Canada,45-49,2911
201203,Correctional Service Canada,45-49,2910
201409,Employment and Social Development Canada,40-44,2909
201303,Correctional Service Canada,35-39,2905
201112,Correctional Service Canada,45-49,2902
201103,National Defence,35-39,2899
200906,Employment and Social Development Canada,55-59,2898
201012,Employment and Social Development Canada,55-59,2898
201103,Employment and Social Development Canada,35-39,2898
201106,Correctional Service Canada,45-49,2894
200912,Employment and Social Development Canada,35-39,2883
201209,Correctional Service Canada,45-49,2883
201306,Correctional Service Canada,35-39,2883
201206,Employment and Social Development Canada,40-44,2881
201212,National Defence,40-44,2878
201109,National Defence,35-39,2876
201109,Correctional Service Canada,45-49,2875
201006,Employment and Social Development Canada,55-59,2873
200806,Canada Revenue Agency,25-29,2872
200906,Correctional Service Canada,35-39,2866
201103,Correctional Service Canada,40-44,2866
201003,Employment and Social Development Canada,30-34,2863
201203,Canada Revenue Agency,25-29,2863
201212,Correctional Service Canada,45-49,2863
201103,Employment and Social Development Canada,55-59,2862
201403,Correctional Service Canada,35-39,2862
201106,Correctional Service Canada,40-44,2861
201106,National Defence,35-39,2858
201103,Canada Revenue Agency,25-29,2855
201012,Employment and Social Development Canada,35-39,2854
201309,Correctional Service Canada,35-39,2854
201303,Correctional Service Canada,45-49,2853
201312,Correctional Service Canada,35-39,2853
200809,Employment and Social Development Canada,55-59,2847
201006,Employment and Social Development Canada,35-39,2846
201012,Correctional Service Canada,40-44,2843
200806,Employment and Social Development Canada,55-59,2839
201012,Correctional Service Canada,45-49,2837
201106,Employment and Social Development Canada,35-39,2835
201306,Correctional Service Canada,45-49,2832
201406,Correctional Service Canada,35-39,2832
200803,Employment and Social Development Canada,55-59,2829
201312,Correctional Service Canada,45-49,2827
200903,Correctional Service Canada,35-39,2826
201403,Correctional Service Canada,45-49,2824
201303,National Defence,40-44,2823
200912,Employment and Social Development Canada,30-34,2818
201012,National Defence,35-39,2818
201512,Correctional Service Canada,45-49,2817
201009,Correctional Service Canada,45-49,2816
201603,Correctional Service Canada,45-49,2812
201009,Employment and Social Development Canada,55-59,2811
201006,Correctional Service Canada,45-49,2809
201212,Employment and Social Development Canada,40-44,2806
200909,Employment and Social Development Canada,35-39,2805
201406,Correctional Service Canada,45-49,2802
201009,Correctional Service Canada,40-44,2799
201209,Employment and Social Development Canada,40-44,2796
201009,Employment and Social Development Canada,35-39,2791
201506,Correctional Service Canada,45-49,2791
200812,Correctional Service Canada,35-39,2789
201309,Correctional Service Canada,45-49,2788
201112,Employment and Social Development Canada,35-39,2786
201003,Correctional Service Canada,40-44,2783
201003,Correctional Service Canada,45-49,2782
201509,Correctional Service Canada,45-49,2781
201112,Employment and Social Development Canada,55-59,2779
201503,Correctional Service Canada,45-49,2779
201203,Employment and Social Development Canada,35-39,2775
201203,Employment and Social Development Canada,55-59,2774
200912,Correctional Service Canada,45-49,2772
201412,Correctional Service Canada,35-39,2771
201409,Correctional Service Canada,45-49,2769
201106,Employment and Social Development Canada,55-59,2768
201409,Correctional Service Canada,35-39,2767
201006,Correctional Service Canada,40-44,2764
201412,Correctional Service Canada,45-49,2762
201109,Employment and Social Development Canada,35-39,2761
201303,Employment and Social Development Canada,40-44,2761
201009,National Defence,35-39,2758
201003,National Defence,35-39,2745
201103,Employment and Social Development Canada,30-34,2745
200803,Canada Revenue Agency,25-29,2741
201006,Employment and Social Development Canada,30-34,2739
200909,Correctional Service Canada,45-49,2738
200906,Employment and Social Development Canada,35-39,2733
200912,Correctional Service Canada,40-44,2731
200909,National Defence,35-39,2729
200912,Public Services and Procurement Canada,50-54,2724
201109,Employment and Social Development Canada,55-59,2722
201306,National Defence,40-44,2720
200912,National Defence,35-39,2719
201006,National Defence,35-39,2719
200906,Correctional Service Canada,45-49,2709
201503,Correctional Service Canada,35-39,2702
200812,Employment and Social Development Canada,35-39,2701
200812,Public Services and Procurement Canada,50-54,2700
200903,Public Services and Procurement Canada,50-54,2699
201003,Public Services and Procurement Canada,50-54,2698
201106,Canada Revenue Agency,25-29,2694
201306,Employment and Social Development Canada,40-44,2694
200903,National Defence,35-39,2690
200909,Public Services and Procurement Canada,50-54,2687
200803,Employment and Social Development Canada,35-39,2681
201603,National Defence,40-44,2680
200906,Public Services and Procurement Canada,50-54,2679
201312,Employment and Social Development Canada,40-44,2678
200803,Public Services and Procurement Canada,50-54,2677
200909,Correctional Service Canada,40-44,2677
201309,Employment and Social Development Canada,40-44,2677
200906,National Defence,35-39,2675
200909,Employment and Social Development Canada,30-34,2672
201206,Canada Revenue Agency,25-29,2668
200903,Employment and Social Development Canada,35-39,2667
200806,Employment and Social Development Canada,35-39,2660
201309,National Defence,40-44,2660
201012,Employment and Social Development Canada,30-34,2658
200903,Correctional Service Canada,45-49,2656
201206,Employment and Social Development Canada,55-59,2655
200906,Correctional Service Canada,40-44,2653
201203,National Defence,35-39,2652
200809,Correctional Service Canada,35-39,2650
200809,Public Services and Procurement Canada,50-54,2649
200806,Public Services and Procurement Canada,50-54,2648
201006,Public Services and Procurement Canada,50-54,2648
200912,Canada Revenue Agency,25-29,2639
201503,Canada Revenue Agency,25-29,2637
201312,National Defence,40-44,2636
201506,Correctional Service Canada,35-39,2635
201209,Employment and Social Development Canada,55-59,2632
200809,Employment and Social Development Canada,35-39,2631
201303,Canada Revenue Agency,25-29,2631
201403,National Defence,40-44,2627
200812,Correctional Service Canada,45-49,2620
201103,Public Services and Procurement Canada,50-54,2620
201012,Public Services and Procurement Canada,50-54,2618
200903,Correctional Service Canada,40-44,2616
201009,Employment and Social Development Canada,30-34,2614
201106,Employment and Social Development Canada,30-34,2613
201512,National Defence,40-44,2613
201009,Public Services and Procurement Canada,50-54,2610
200912,National Defence,30-34,2608
201212,Employment and Social Development Canada,55-59,2607
201403,Canada Revenue Agency,25-29,2607
200906,Employment and Social Development Canada,30-34,2603
200909,Canada Revenue Agency,25-29,2602
201206,Employment and Social Development Canada,35-39,2597
200803,Correctional Service Canada,35-39,2596
201412,Correctional Service Canada,50-54,2596
201306,Canada Revenue Agency,25-29,2595
200909,National Defence,30-34,2593
201012,National Defence,30-34,2590
201003,Employment and Social Development Canada,25-29,2580
200812,National Defence,35-39,2579
201106,Public Services and Procurement Canada,50-54,2578
201103,National Defence,30-34,2576
201209,Employment and Social Development Canada,35-39,2576
200812,Correctional Service Canada,40-44,2566
201312,Correctional Service Canada,50-54,2566
201509,National Defence,40-44,2566
201512,Correctional Service Canada,35-39,2563
200806,Correctional Service Canada,35-39,2562
201506,National Defence,40-44,2560
201406,National Defence,40-44,2556
201403,Correctional Service Canada,50-54,2553
201503,Correctional Service Canada,50-54,2553
201109,Public Services and Procurement Canada,50-54,2552
201603,Correctional Service Canada,35-39,2551
201603,Correctional Service Canada,50-54,2551
201306,Correctional Service Canada,50-54,2550
201512,Correctional Service Canada,50-54,2550
201309,Correctional Service Canada,50-54,2549
201303,Employment and Social Development Canada,35-39,2548
201409,Correctional Service Canada,50-54,2548
201506,Correctional Service Canada,50-54,2548
201009,National Defence,30-34,2547
201212,Employment and Social Development Canada,35-39,2547
201509,Correctional Service Canada,35-39,2546
200912,Employment and Social Development Canada,25-29,2544
201212,Correctional Service Canada,50-54,2542
201312,Employment and Social Development Canada,35-39,2542
200809,Correctional Service Canada,45-49,2541
201503,National Defence,40-44,2541
200806,Correctional Service Canada,45-49,2539
201112,Correctional Service Canada,50-54,2537
201303,Correctional Service Canada,50-54,2536
201406,Correctional Service Canada,50-54,2536
201003,National Defence,30-34,2534
201412,National Defence,40-44,2534
200803,Correctional Service Canada,45-49,2531
201112,National Defence,30-34,2529
201112,Public Services and Procurement Canada,50-54,2527
201509,Correctional Service Canada,50-54,2527
201409,National Defence,40-44,2525
201106,National Defence,30-34,2522
201203,Correctional Service Canada,50-54,2522
201006,National Defence,30-34,2521
201603,Canada Border Services Agency,35-39,2519
201206,Correctional Service Canada,50-54,2516
200903,Employment and Social Development Canada,30-34,2515
201203,Public Services and Procurement Canada,50-54,2511
201009,Canada Revenue Agency,25-29,2507
201603,Employment and Social Development Canada,55-59,2507
201109,National Defence,30-34,2502
201209,Correctional Service Canada,50-54,2502
200906,National Defence,30-34,2501
201512,Employment and Social Development Canada,55-59,2500
201512,Employment and Social Development Canada,30-34,2499
200809,Canada Revenue Agency,25-29,2498
201603,Employment and Social Development Canada,30-34,2494
201006,Employment and Social Development Canada,25-29,2492
201109,Employment and Social Development Canada,30-34,2492
200809,Correctional Service Canada,40-44,2491
201203,Correctional Service Canada,30-34,2491
201603,Canada Revenue Agency,25-29,2491
200812,Canada Revenue Agency,25-29,2489
201406,Canada Revenue Agency,25-29,2489
201012,Canada Revenue Agency,25-29,2485
201512,Canada Border Services Agency,35-39,2483
201306,Employment and Social Development Canada,35-39,2481
201603,Canada Revenue Agency,60-64,2480
200806,Correctional Service Canada,40-44,2478
200903,National Defence,30-34,2478
201503,Employment and Social Development Canada,55-59,2474
201506,Canada Border Services Agency,35-39,2472
201506,Canada Revenue Agency,25-29,2467
201206,Correctional Service Canada,30-34,2465
201503,Canada Revenue Agency,60-64,2465
200812,Employment and Social Development Canada,30-34,2463
201206,National Defence,35-39,2462
201503,Canada Border Services Agency,35-39,2462
201003,Correctional Service Canada,50-54,2458
201412,Canada Border Services Agency,35-39,2456
200803,Correctional Service Canada,40-44,2455
201209,National Defence,35-39,2455
200809,National Defence,35-39,2451
201109,Correctional Service Canada,50-54,2451
201112,Employment and Social Development Canada,30-34,2451
201203,Employment and Social Development Canada,30-34,2451
201212,National Defence,35-39,2451
201503,Employment and Social Development Canada,30-34,2451
201012,Correctional Service Canada,50-54,2450
201009,Correctional Service Canada,50-54,2448
201509,Canada Border Services Agency,35-39,2448
201509,Employment and Social Development Canada,55-59,2448
201406,Canada Revenue Agency,60-64,2446
